#  z ngal
5.000000000000000278e-02 1.631000000000000000e+06
1.499999999999999944e-01 4.303600000000000931e+06
2.500000000000000000e-01 2.672600000000000000e+06
3.499999999999999778e-01 1.024800000000000000e+06
4.500000000000000111e-01 1.680000000000000000e+05
6.500000000000000222e-01 1.663200000000000000e+06
7.500000000000000000e-01 4.634000000000000000e+06
8.499999999999999778e-01 3.704400000000000000e+06
9.499999999999999556e-01 3.406200000000000000e+06
1.050000000000000044e+00 2.189600000000000000e+06
1.149999999999999911e+00 2.024400000000000233e+06
1.250000000000000000e+00 1.983800000000000233e+06
1.350000000000000089e+00 8.484000000000001164e+05
1.449999999999999956e+00 7.714000000000000000e+05
1.550000000000000044e+00 5.824000000000000000e+05
1.649999999999999911e+00 2.982000000000000582e+05
1.750000000000000000e+00 1.218000000000000146e+05
1.850000000000000089e+00 1.204000000000000000e+05
1.959999999999999964e+00 1.836800000000001746e+05
2.120000000000000107e+00 1.545599999999999127e+05
2.279999999999999805e+00 1.150100000000000291e+05
2.430000000000000160e+00 9.331000000000001455e+04
2.589999999999999858e+00 8.287999999999995634e+04
2.750000000000000000e+00 6.944000000000005821e+04
2.910000000000000142e+00 5.823999999999997817e+04
3.069999999999999840e+00 4.703999999999997817e+04
3.229999999999999982e+00 3.584000000000002910e+04
3.390000000000000124e+00 2.911999999999998909e+04
3.549999999999999822e+00 2.015999999999996362e+04
