# z sigR/R sigDA/DA sigH/H nbar_P(0.2,0) nbar_P(0.14,0.6) V(h^-1Gpc^3) dN_ELG/dz/ddeg^2 dN_LGR/dz/ddeg^2 dN_QSO/dz/ddeg^2 sig_fsig0.1/fsig0.1 sig_fsig0.2/fsig0.2
0.65 0.71 1.02 1.87 2.59 6.23 1.69 309.00 832.00 47.00 4.12 1.96
0.75 0.59 0.86 1.58 3.63 9.25 2.03 2269.00 986.00 55.00 2.62 1.26
0.85 0.59 0.86 1.53 2.33 5.98 2.34 1923.00 662.00 61.00 2.64 1.26
0.95 0.61 0.91 1.52 1.45 3.88 2.64 2094.00 272.00 67.00 2.61 1.24
1.05 0.72 1.12 1.70 0.71 1.95 2.90 1441.00 51.00 72.00 2.79 1.39
1.15 0.75 1.17 1.74 0.58 1.59 3.14 1353.00 17.00 76.00 2.80 1.42
1.25 0.76 1.19 1.74 0.51 1.41 3.35 1337.00 0.00 80.00 2.81 1.44
1.35 1.15 1.87 2.52 0.22 0.61 3.54 523.00 0.00 83.00 3.62 2.16
1.45 1.22 1.99 2.66 0.20 0.53 3.70 466.00 0.00 85.00 3.82 2.34
1.55 1.45 2.37 3.14 0.15 0.40 3.84 329.00 0.00 87.00 4.40 2.84
1.65 2.20 3.59 4.74 0.09 0.22 3.95 126.00 0.00 87.00 6.36 4.50
1.75 3.59 5.79 7.86 0.05 0.12 4.05 0.00 0.00 87.00 11.11 8.49
1.85 3.64 5.87 7.97 0.05 0.12 4.13 0.00 0.00 86.00 11.53 8.82
